Entity,Code,Year,Gini index (SEDLAC)
España,ESP,2023,31.5
España,ESP,2022,32
España,ESP,2021,33
España,ESP,2020,32.1
España,ESP,2019,33
España,ESP,2018,33.2
España,ESP,2017,34.1
España,ESP,2016,34.5
España,ESP,2015,34.6
España,ESP,2014,34.7
España,ESP,2013,33.7
España,ESP,2012,34.2
España,ESP,2011,34
España,ESP,2010,33.5
España,ESP,2009,32.9
España,ESP,2008,32.4
España,ESP,2007,31.9
España,ESP,2006,31.9
España,ESP,2005,32.2
España,ESP,2004,31
España,ESP,2002,31
España,ESP,2001,33
España,ESP,2000,32
España,ESP,1999,33
España,ESP,1998,34
España,ESP,1997,35
España,ESP,1996,34
España,ESP,1995,34
